,NAWS to HQ,,,,
,No. ,SO-C000001,,,
,Date:,28/5/2024,,,
No,Item Code,Item Description,Qty,UOM,Location 
1,ELBAZ0455,124047 - High tension transformer type KW 230 V,1,PCS,PH4-SB-L2-1-5
2,155068,Single-phase switching power supply220V / 24V DC / 10A,1,PCS,PH4-SB-L4-1-2
3,603563,OUTILLAGE POUR REGLAGE CODEUR / ø18x24.8,3,PCS,PH4-SB-L4-1-2
4,605432,Racleur/ 9x18x192/ 9x18x192,1,PCS,PH4-SB-L4-1-2
5,B688,RCS compression module,2,PCS,PH4-SB-L4-1-2
6,A1077,Rail V 3015/15/ LG 300/ Q10/ LG 300/ Q10,2,PCS,PH4-SB-L4-1-3
7,119131,CAPTEUR PRESSION ELECTRONIQUE SCPSD 060 04 17,1,PCS,PH4-SB-L4-1-3
8,125034,"Profibus ""Compact"" Bus Coupler Beckhoff -  Ref. : BK3150",1,PCS,PH4-SB-L4-1-3
9,B698,Extension board 4 axes Yaskawa motor PX-E7 / PAL : DIV 5T4,1,PCS,PH4-SB-L4-1-3
10,128307,Electronic circuit breaker / 1P / 6A / 24V DC without auxiliary contact / COM-S,1,PCS,PH4-SB-L4-1-3
